nomor_pkk,nomor_spb
PKK.DN.IDSRG.2503.000131,SPB.IDSRG.0325.0000214
PKK.DN.IDBDJ.2503.001868,SPB.IDBDJ.0325.0002390
PKK.DN.IDLBR.2503.000115,SPB.IDLBR.0325.0000123
PKK.DN.IDBDJ.2503.001700,SPB.IDBDJ.0325.0002388
PKK.DN.IDBDJ.2503.002261,SPB.IDBDJ.0325.0002386
PKK.DN.IDSMQ.2503.000085,SPB.IDSMQ.0325.0000301
PKK.DN.IDSMQ.2503.000086,SPB.IDSMQ.0325.0000300
PKK.DN.IDBDJ.2503.002260,SPB.IDBDJ.0325.0002387
PKK.DN.IDGRE.2503.000001,SPB.IDGRE.0325.0000564
PKK.DN.IDBJU.2503.000071,SPB.IDBJU.0325.0000090
PKK.DN.IDSUB.2503.000742,SPB.IDSUB.0325.0000717
PKK.DN.IDBDJ.2503.002032,SPB.IDBDJ.0325.0002385
PKK.DN.IDBDJ.2503.001951,SPB.IDBDJ.0325.0002384
PKK.DN.IDBDJ.2503.001952,SPB.IDBDJ.0325.0002383
PKK.DN.IDGRE.2501.000083,SPB.IDGRE.0325.0000563
PKK.DN.IDBDJ.2503.002184,SPB.IDBDJ.0325.0002381
PKK.LN.IDSUB.2503.000628,SPB.IDSUB.0325.0000715
PKK.DN.IDBDJ.2503.002180,SPB.IDBDJ.0325.0002377
PKK.DN.IDBDJ.2503.002181,SPB.IDBDJ.0325.0002376
PKK.DN.IDBDJ.2503.002253,SPB.IDBDJ.0325.0002375
PKK.DN.IDBDJ.2503.002251,SPB.IDBDJ.0325.0002374
PKK.DN.IDBDJ.2503.002243,SPB.IDBDJ.0325.0002373
PKK.DN.IDBDJ.2503.002195,SPB.IDBDJ.0325.0002370
PKK.DN.IDBDJ.2503.002185,SPB.IDBDJ.0325.0002382
PKK.DN.IDBDJ.2503.002131,SPB.IDBDJ.0325.0002380
PKK.DN.IDBDJ.2503.002134,SPB.IDBDJ.0325.0002379
PKK.DN.IDBDJ.2503.002132,SPB.IDBDJ.0325.0002378
PKK.DN.IDSMQ.2503.000118,SPB.IDSMQ.0325.0000299
PKK.DN.IDBDJ.2503.002126,SPB.IDBDJ.0325.0002372
PKK.DN.IDBDJ.2503.002240,SPB.IDBDJ.0325.0002371
PKK.DN.IDBDJ.2503.002193,SPB.IDBDJ.0325.0002368
PKK.DN.IDBDJ.2503.002169,SPB.IDBDJ.0325.0002365
PKK.DN.IDBDJ.2503.002305,SPB.IDBDJ.0325.0002362
PKK.DN.IDSRG.2503.000004,SPB.IDSRG.0325.0000213
PKK.DN.IDBDJ.2503.002029,SPB.IDBDJ.0325.0002369
PKK.DN.IDBDJ.2503.002148,SPB.IDBDJ.0325.0002367
PKK.DN.IDBDJ.2503.002150,SPB.IDBDJ.0325.0002366
PKK.DN.IDBDJ.2503.002168,SPB.IDBDJ.0325.0002364
PKK.DN.IDBDJ.2501.002271,SPB.IDBDJ.0325.0002363
